assembly_accession	n_cds	n_sox_hits	n_excluded_pseudogene_or_partial_sox_hits	n_distinct_sox_genes	sox_genes	n_mobile_features	sox_with_mobile_within_20kb	refseq_category	taxid	species_taxid	organism_name	assembly_level	group	genome_size	gc_percent	scaffold_count	contig_count	annotation_provider	annotation_date	ftp_path	gff_url	protein_url	genome_url	gtdb_accession	gtdb_lineage	gtdb_domain	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species	has_soxB	has_carrier_YZ	has_cytochrome_AX	has_dehydrogenase_CD	module_completeness	module_class	gtdb_mapped
GCF_016584445.1	4980	8	0	6	soxa,soxb,soxc,soxx,soxy,soxz	32	0	reference genome	1076	1076	Rhodopseudomonas palustris	Complete Genome	bacteria	5457289	65.000000	2	2	NCBI RefSeq	2026-03-31	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/584/445/GCF_016584445.1_ASM1658444v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/584/445/GCF_016584445.1_ASM1658444v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/584/445/GCF_016584445.1_ASM1658444v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/584/445/GCF_016584445.1_ASM1658444v1//_genomic.fna.gz	RS_GCF_016584445.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris_F	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Rhodopseudomonas	s__Rhodopseudomonas palustris_F	True	True	True	True	4	complete	True
GCF_016599875.1	4923	8	0	6	soxa,soxb,soxc,soxx,soxy,soxz	48	0	reference genome	285	285	Comamonas testosteroni	Chromosome	bacteria	5497097	61.500000	1	1	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/875/GCF_016599875.1_ASM1659987v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/875/GCF_016599875.1_ASM1659987v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/875/GCF_016599875.1_ASM1659987v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/599/875/GCF_016599875.1_ASM1659987v1//_genomic.fna.gz	RS_GCF_016599875.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Comamonas;s__Comamonas testosteroni	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Comamonas	s__Comamonas testosteroni	True	True	True	True	4	complete	True
GCF_016653635.2	7020	7	0	6	soxa,soxb,soxc,soxx,soxy,soxz	249	6	reference genome	2775420	2775420	Skermanella cutis	Complete Genome	bacteria	7569752	67.500000	6	6	NCBI RefSeq	2026-01-26	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/653/635/GCF_016653635.2_ASM1665363v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/653/635/GCF_016653635.2_ASM1665363v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/653/635/GCF_016653635.2_ASM1665363v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/653/635/GCF_016653635.2_ASM1665363v2//_genomic.fna.gz	RS_GCF_016653635.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella;s__Skermanella cutis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Skermanella	s__Skermanella cutis	True	True	True	True	4	complete	True
GCF_016765655.2	7237	13	0	6	soxa,soxb,soxc,soxx,soxy,soxz	227	3	reference genome	1789672	1789672	Skermanella mucosa	Complete Genome	bacteria	7840710	67.000000	5	5	NCBI RefSeq	2025-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/765/655/GCF_016765655.2_ASM1676565v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/765/655/GCF_016765655.2_ASM1676565v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/765/655/GCF_016765655.2_ASM1676565v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/765/655/GCF_016765655.2_ASM1676565v2//_genomic.fna.gz	RS_GCF_016765655.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella;s__Skermanella mucosa	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Skermanella	s__Skermanella mucosa	True	True	True	True	4	complete	True
GCF_016801755.1	3905	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	37	0	reference genome	83219	83219	Sulfitobacter mediterraneus	Complete Genome	bacteria	4046066	58.500000	6	6	NCBI RefSeq	2026-03-31	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/801/755/GCF_016801755.1_ASM1680175v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/801/755/GCF_016801755.1_ASM1680175v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/801/755/GCF_016801755.1_ASM1680175v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/801/755/GCF_016801755.1_ASM1680175v1//_genomic.fna.gz	RS_GCF_016801755.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__Sulfitobacter mediterraneus	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Sulfitobacter	s__Sulfitobacter mediterraneus	True	True	True	True	4	complete	True
GCF_016806125.1	4796	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	38	0	reference genome	1943633	1943633	Ponticoccus alexandrii	Complete Genome	bacteria	5091427	66.000000	5	5	NCBI RefSeq	2026-06-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/125/GCF_016806125.1_ASM1680612v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/125/GCF_016806125.1_ASM1680612v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/125/GCF_016806125.1_ASM1680612v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/125/GCF_016806125.1_ASM1680612v1//_genomic.fna.gz	RS_GCF_016806125.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ponticoccus;s__Ponticoccus alexandrii	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Ponticoccus	s__Ponticoccus alexandrii	True	True	True	True	4	complete	True
GCF_016806835.2	7243	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	163	0	reference genome	1817965	1817965	Skermanella rosea	Complete Genome	bacteria	7759404	67.500000	7	7	NCBI RefSeq	2025-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/835/GCF_016806835.2_ASM1680683v2/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/835/GCF_016806835.2_ASM1680683v2//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/835/GCF_016806835.2_ASM1680683v2//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/806/835/GCF_016806835.2_ASM1680683v2//_genomic.fna.gz	RS_GCF_016806835.2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Skermanella;s__Skermanella rosea	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Azospirillales	f__Azospirillaceae	g__Skermanella	s__Skermanella rosea	True	True	True	True	4	complete	True
GCF_016807805.1	6330	7	0	6	soxa,soxb,soxc,soxx,soxy,soxz	132	0	reference genome	2528964	2528964	Xanthobacter dioxanivorans	Complete Genome	bacteria	6650762	68.000000	5	5	NCBI RefSeq	2025-12-13	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/807/805/GCF_016807805.1_ASM1680780v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/807/805/GCF_016807805.1_ASM1680780v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/807/805/GCF_016807805.1_ASM1680780v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/807/805/GCF_016807805.1_ASM1680780v1//_genomic.fna.gz	RS_GCF_016807805.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Xanthobacter;s__Xanthobacter dioxanivorans	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Xanthobacter	s__Xanthobacter dioxanivorans	True	True	True	True	4	complete	True
GCF_016894385.1	6012	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	46	0	reference genome	96344	96344	Cupriavidus oxalaticus	Complete Genome	bacteria	6694750	67.000000	2	2	NCBI RefSeq	2025-08-21	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/894/385/GCF_016894385.1_ASM1689438v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/894/385/GCF_016894385.1_ASM1689438v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/894/385/GCF_016894385.1_ASM1689438v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/894/385/GCF_016894385.1_ASM1689438v1//_genomic.fna.gz	RS_GCF_016894385.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus oxalaticus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Cupriavidus	s__Cupriavidus oxalaticus	True	True	True	True	4	complete	True
GCF_017301335.1	3349	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	9	0	reference genome	2769486	2769486	Marinobacter salinisoli	Complete Genome	bacteria	3716531	58.000000	1	1	NCBI RefSeq	2025-12-16	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/301/335/GCF_017301335.1_ASM1730133v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/301/335/GCF_017301335.1_ASM1730133v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/301/335/GCF_017301335.1_ASM1730133v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/301/335/GCF_017301335.1_ASM1730133v1//_genomic.fna.gz	RS_GCF_017301335.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__Marinobacter salinisoli	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Marinobacter	s__Marinobacter salinisoli	True	True	True	True	4	complete	True
GCF_017309585.1	4372	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	24	0	reference genome	2815343	2815343	Nitrogeniibacter aestuarii	Complete Genome	bacteria	4745026	62.500000	2	2	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/309/585/GCF_017309585.1_ASM1730958v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/309/585/GCF_017309585.1_ASM1730958v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/309/585/GCF_017309585.1_ASM1730958v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/309/585/GCF_017309585.1_ASM1730958v1//_genomic.fna.gz	RS_GCF_017309585.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Nitrogeniibacter;s__Nitrogeniibacter aestuarii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Nitrogeniibacter	s__Nitrogeniibacter aestuarii	True	True	True	True	4	complete	True
GCF_017357825.1	2675	10	0	6	soxa,soxb,soxc,soxx,soxy,soxz	37	5	reference genome	2672570	2672570	Sulfurimonas aquatica	Complete Genome	bacteria	2845050	34.500000	2	2	NCBI RefSeq	2026-05-27	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/825/GCF_017357825.1_ASM1735782v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/825/GCF_017357825.1_ASM1735782v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/825/GCF_017357825.1_ASM1735782v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/357/825/GCF_017357825.1_ASM1735782v1//_genomic.fna.gz	RS_GCF_017357825.1	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas aquatica	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonas aquatica	True	True	True	True	4	complete	True
GCF_017493175.3	8221	19	0	6	soxa,soxb,soxc,soxx,soxy,soxz	166	0	reference genome	2748629	2748629	Bradyrhizobium quebecense	Complete Genome	bacteria	8753169	64.000000	2	2	NCBI RefSeq	2026-03-30	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/493/175/GCF_017493175.3_ASM1749317v3/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/493/175/GCF_017493175.3_ASM1749317v3//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/493/175/GCF_017493175.3_ASM1749317v3//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/493/175/GCF_017493175.3_ASM1749317v3//_genomic.fna.gz	RS_GCF_017493175.3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium quebecense	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__Bradyrhizobium quebecense	True	True	True	True	4	complete	True
GCF_017498525.1	4070	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	86	6	reference genome	2816950	2816950	Ottowia testudinis	Complete Genome	bacteria	4320685	65.500000	1	1	NCBI RefSeq	2026-05-31	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/525/GCF_017498525.1_ASM1749852v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/525/GCF_017498525.1_ASM1749852v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/525/GCF_017498525.1_ASM1749852v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/498/525/GCF_017498525.1_ASM1749852v1//_genomic.fna.gz	RS_GCF_017498525.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Ottowia;s__Ottowia testudinis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae_C	g__Ottowia	s__Ottowia testudinis	True	True	True	True	4	complete	True
GCF_017901135.1	4165	9	0	5	soxa,soxb,soxx,soxy,soxz	99	6	reference genome	2891210	2891210	Thiothrix litoralis	Complete Genome	bacteria	4284843	53.000000	1	1	NCBI RefSeq	2025-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/135/GCF_017901135.1_ASM1790113v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/135/GCF_017901135.1_ASM1790113v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/135/GCF_017901135.1_ASM1790113v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/135/GCF_017901135.1_ASM1790113v1//_genomic.fna.gz	RS_GCF_017901135.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix litoralis	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__Thiothrix litoralis	True	True	True	False	3	near_complete	True
GCF_017901155.1	3552	9	0	5	soxa,soxb,soxx,soxy,soxz	51	0	reference genome	2823902	2823902	Candidatus Thiothrix anitrata	Complete Genome	bacteria	3546315	50.000000	1	1	NCBI RefSeq	2025-12-09	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/155/GCF_017901155.1_ASM1790115v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/155/GCF_017901155.1_ASM1790115v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/155/GCF_017901155.1_ASM1790115v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/155/GCF_017901155.1_ASM1790115v1//_genomic.fna.gz	RS_GCF_017901155.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix anitrata	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__Thiothrix anitrata	True	True	True	False	3	near_complete	True
GCF_017901175.1	3679	9	0	5	soxa,soxb,soxx,soxy,soxz	85	9	reference genome	111769	111769	Thiothrix unzii	Complete Genome	bacteria	3724392	50.500000	8	8	NCBI RefSeq	2026-05-07	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/175/GCF_017901175.1_ASM1790117v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/175/GCF_017901175.1_ASM1790117v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/175/GCF_017901175.1_ASM1790117v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/901/175/GCF_017901175.1_ASM1790117v1//_genomic.fna.gz	RS_GCF_017901175.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__Thiotrichaceae;g__Thiothrix;s__Thiothrix unzii	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Thiotrichales	f__Thiotrichaceae	g__Thiothrix	s__Thiothrix unzii	True	True	True	False	3	near_complete	True
GCF_018243235.1	4887	5	0	5	soxa,soxb,soxx,soxy,soxz	94	5	reference genome	3037696	3037696	Ralstonia nicotianae	Complete Genome	bacteria	5613239	67.000000	2	2	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/243/235/GCF_018243235.1_ASM1824323v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/243/235/GCF_018243235.1_ASM1824323v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/243/235/GCF_018243235.1_ASM1824323v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/243/235/GCF_018243235.1_ASM1824323v1//_genomic.fna.gz	RS_GCF_018243235.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia nicotianae	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Ralstonia	s__Ralstonia nicotianae	True	True	True	False	3	near_complete	True
GCF_018279705.1	5584	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	27	0	reference genome	340268	340268	Tardiphaga alba	Complete Genome	bacteria	5857905	62.000000	1	1	NCBI RefSeq	2025-12-11	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/279/705/GCF_018279705.1_ASM1827970v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/279/705/GCF_018279705.1_ASM1827970v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/279/705/GCF_018279705.1_ASM1827970v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/279/705/GCF_018279705.1_ASM1827970v1//_genomic.fna.gz	RS_GCF_018279705.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Tardiphaga;s__Tardiphaga alba	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Tardiphaga	s__Tardiphaga alba	True	True	True	True	4	complete	True
GCF_018282095.1	5335	6	0	6	soxa,soxb,soxc,soxx,soxy,soxz	39	1	reference genome	1898042	1898042	Pseudovibrio brasiliensis	Chromosome	bacteria	6030410	52.000000	6	8	NCBI RefSeq	2026-04-27	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/282/095/GCF_018282095.1_ASM1828209v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/282/095/GCF_018282095.1_ASM1828209v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/282/095/GCF_018282095.1_ASM1828209v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/282/095/GCF_018282095.1_ASM1828209v1//_genomic.fna.gz	RS_GCF_018282095.1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Pseudovibrio;s__Pseudovibrio brasiliensis	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Stappiaceae	g__Pseudovibrio	s__Pseudovibrio brasiliensis	True	True	True	True	4	complete	True
GCF_018685455.1	1724	8	0	5	soxa,soxb,soxx,soxy,soxz	8	3	reference genome	2527775	2527775	Polynucleobacter paneuropaeus	Complete Genome	bacteria	1708534	46.000000	1	1	NCBI RefSeq	2026-04-27	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/685/455/GCF_018685455.1_ASM1868545v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/685/455/GCF_018685455.1_ASM1868545v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/685/455/GCF_018685455.1_ASM1868545v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/685/455/GCF_018685455.1_ASM1868545v1//_genomic.fna.gz	RS_GCF_018685455.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter paneuropaeus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter paneuropaeus	True	True	True	False	3	near_complete	True
GCF_018687595.1	1716	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	7	3	reference genome	1855895	1855895	Polynucleobacter paludilacus	Complete Genome	bacteria	1670875	46.500000	1	1	NCBI RefSeq	2025-08-08	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/595/GCF_018687595.1_ASM1868759v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/595/GCF_018687595.1_ASM1868759v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/595/GCF_018687595.1_ASM1868759v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/595/GCF_018687595.1_ASM1868759v1//_genomic.fna.gz	RS_GCF_018687595.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter paludilacus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter paludilacus	True	True	True	True	4	complete	True
GCF_018687955.1	1905	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	4	0	reference genome	1819725	1819725	Polynucleobacter ibericus	Chromosome	bacteria	1904269	45.500000	1	2	NCBI RefSeq	2026-06-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/955/GCF_018687955.1_ASM1868795v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/955/GCF_018687955.1_ASM1868795v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/955/GCF_018687955.1_ASM1868795v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/687/955/GCF_018687955.1_ASM1868795v1//_genomic.fna.gz	RS_GCF_018687955.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter ibericus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter ibericus	True	True	True	True	4	complete	True
GCF_018688255.1	2076	9	0	6	soxa,soxb,soxc,soxx,soxy,soxz	21	0	reference genome	2081042	2081042	Polynucleobacter corsicus	Complete Genome	bacteria	2045022	46.000000	1	1	NCBI RefSeq	2026-06-19	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/688/255/GCF_018688255.1_ASM1868825v1/	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/688/255/GCF_018688255.1_ASM1868825v1//_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/688/255/GCF_018688255.1_ASM1868825v1//_protein.faa.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/688/255/GCF_018688255.1_ASM1868825v1//_genomic.fna.gz	RS_GCF_018688255.1	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter corsicus	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Polynucleobacter	s__Polynucleobacter corsicus	True	True	True	True	4	complete	True
